feature,feature_type,bucket,count,target7_count,target7_rate,target7_rate_lift_vs_base,avg_candidate_d3_max_return_pct
active_cooling_score,numeric,"(50.0, 70.0]",734,322,0.43869209809264303,0.053374100799002955,6.929950688853965
active_cooling_score,numeric,"(85.0, 90.0]",1039,410,0.3946102021174206,0.009292204823780514,6.58249512804642
active_cooling_score,numeric,"(70.0, 85.0]",589,212,0.3599320882852292,-0.025385909008410867,6.005439710525156
active_cooling_score,numeric,"(29.999, 50.0]",594,195,0.3282828282828283,-0.05703516901081179,5.339271448963964
active_money_score,numeric,"(31.999, 50.0]",617,267,0.4327390599675851,0.047421062673945025,7.1313781563142005
active_money_score,numeric,"(50.0, 62.0]",634,248,0.3911671924290221,0.005849195135382013,6.664897015233521
active_money_score,numeric,"(62.0, 74.0]",576,221,0.3836805555555556,-0.0016374417380844997,6.202723853574331
active_money_score,numeric,"(74.0, 86.0]",608,230,0.3782894736842105,-0.007028523609429571,5.959814320781948
active_money_score,numeric,"(86.0, 100.0]",521,173,0.33205374280230326,-0.053264254491336815,5.39843838204376
consecutive_boards,numeric,"(0.999, 4.0]",2956,1139,0.3853179972936401,0.0,6.303967345684354
d1_close_ma10_pct,numeric,"(15.298, 41.906]",591,330,0.5583756345177665,0.17305763722412643,8.312844062525661
d1_close_ma10_pct,numeric,"(9.607, 15.298]",591,231,0.39086294416243655,0.005544946868796474,6.401516066728685
d1_close_ma10_pct,numeric,"(2.073, 6.07]",591,206,0.34856175972927245,-0.03675623756436763,5.665151930509859
d1_close_ma10_pct,numeric,"(6.07, 9.607]",591,202,0.34179357021996615,-0.04352442707367393,5.881973380922392
d1_close_ma10_pct,numeric,"(-19.056, 2.073]",592,170,0.28716216216216217,-0.09815583513147791,5.260117531076305
d1_close_vwap_pct,numeric,"(1.523, 2.909]",591,252,0.4263959390862944,0.04107794179265434,6.667588144839582
d1_close_vwap_pct,numeric,"(2.909, 10.272]",591,242,0.40947546531302875,0.024157468019388673,6.575589916137393
d1_close_vwap_pct,numeric,"(0.309, 1.523]",591,219,0.37055837563451777,-0.014759621659122313,6.082005840821624
d1_close_vwap_pct,numeric,"(-8.596, -0.97]",592,215,0.36317567567567566,-0.022142321617964422,6.04043542278655
d1_close_vwap_pct,numeric,"(-0.97, 0.309]",591,211,0.3570219966159052,-0.028296000677734856,6.154663312335605
d1_low_ma10_pct,numeric,"(8.392, 40.379]",591,320,0.5414551607445008,0.15613716345086076,8.112974193905504
d1_low_ma10_pct,numeric,"(4.153, 8.392]",591,218,0.3688663282571912,-0.0164516690364489,5.985408385242376
d1_low_ma10_pct,numeric,"(-26.172, -3.502]",592,214,0.3614864864864865,-0.023831510807153566,6.02433566163726
d1_low_ma10_pct,numeric,"(0.538, 4.153]",591,207,0.350253807106599,-0.0350641901870411,5.9079386582197735
d1_low_ma10_pct,numeric,"(-3.502, 0.538]",591,180,0.30456852791878175,-0.08074946937485833,5.489652979474468
days_since_d0,numeric,"(-0.001, 1.0]",1834,806,0.4394765539803708,0.0541585566867307,6.988896330359185
days_since_d0,numeric,"(1.0, 3.0]",884,286,0.3235294117647059,-0.06178858552893418,5.600923952817452
days_since_d0,numeric,"(3.0, 4.0]",238,47,0.19747899159663865,-0.18783900569700143,3.6372892003091617
entry_width_score,numeric,"(65.0, 90.0]",552,274,0.4963768115942029,0.1110588143005628,7.646076705779991
entry_width_score,numeric,"(24.999, 60.0]",1430,526,0.3678321678321678,-0.017485829461472258,6.020936228752203
entry_width_score,numeric,"(60.0, 65.0]",974,339,0.3480492813141684,-0.03726871597947168,5.958885344082901
graph_quality_score,numeric,"(82.0, 90.0]",540,280,0.5185185185185185,0.1332005212248784,7.538974865797998
graph_quality_score,numeric,"(70.0, 82.0]",480,210,0.4375,0.05218200270635992,6.964143563577744
graph_quality_score,numeric,"(58.0, 70.0]",477,192,0.4025157232704403,0.017197725976800193,6.891007584844681
graph_quality_score,numeric,"(40.0, 58.0]",554,174,0.3140794223826715,-0.07123857491096858,5.535070437602559
graph_quality_score,numeric,"(-0.001, 40.0]",905,283,0.312707182320442,-0.0726108149731981,5.378179552919322
invalid_distance_pct,numeric,"(-0.001, 2.106]",592,287,0.4847972972972973,0.09947930000365723,7.542703383991398
invalid_distance_pct,numeric,"(3.896, 4.554]",591,224,0.3790186125211506,-0.00629938477248948,6.32322893537532
invalid_distance_pct,numeric,"(3.148, 3.896]",591,212,0.3587140439932318,-0.026603953300408267,6.001429513922529
invalid_distance_pct,numeric,"(2.106, 3.148]",591,210,0.3553299492385787,-0.02998804805506139,6.022296759339641
invalid_distance_pct,numeric,"(4.554, 6.459]",591,206,0.34856175972927245,-0.03675623756436763,5.628082135728069
low_absorb_width_pct,numeric,"(-0.001, 2.106]",592,287,0.4847972972972973,0.09947930000365723,7.542703383991398
low_absorb_width_pct,numeric,"(3.896, 4.554]",591,224,0.3790186125211506,-0.00629938477248948,6.32322893537532
low_absorb_width_pct,numeric,"(3.148, 3.896]",591,212,0.3587140439932318,-0.026603953300408267,6.001429513922529
low_absorb_width_pct,numeric,"(2.106, 3.148]",591,210,0.3553299492385787,-0.02998804805506139,6.022296759339641
low_absorb_width_pct,numeric,"(4.554, 6.459]",591,206,0.34856175972927245,-0.03675623756436763,5.628082135728069
signal_type,categorical,WATCH_ONLY,1408,616,0.4375,0.05218200270635992,7.030541953351667
signal_type,categorical,D2_LOW_ABSORB,1548,523,0.33785529715762275,-0.04746270013601733,5.643103619847419
support_score,numeric,"(69.0, 91.0]",1737,711,0.40932642487046633,0.024008427576826252,6.536831482942828
support_score,numeric,"(27.0, 69.0]",625,226,0.3616,-0.023717997293640103,6.248896828826514
support_score,numeric,"(-0.001, 27.0]",594,202,0.3400673400673401,-0.045250657226300006,5.68096072382944
support_type,categorical,A,1837,744,0.4050081654872074,0.019690168193567337,6.492670955561896
support_type,categorical,B,283,112,0.3957597173144876,0.010441720020847534,6.664174822192032
support_type,categorical,C,836,283,0.33851674641148327,-0.04680125088215681,5.767379729420342
theme_score,numeric,"(60.0, 70.0]",1760,727,0.41306818181818183,0.027750184524541754,6.622017582724151
theme_score,numeric,"(44.999, 60.0]",1196,412,0.34448160535117056,-0.04083639194246952,5.835933552047195
total_score,numeric,"(74.25, 89.75]",566,314,0.5547703180212014,0.16945232072756128,8.376855709875853
total_score,numeric,"(66.25, 74.25]",607,257,0.4233937397034596,0.038075742409819535,6.795356226235644
total_score,numeric,"(59.25, 66.25]",595,204,0.34285714285714286,-0.04246085443649722,5.76065396926228
total_score,numeric,"(52.5, 59.25]",593,193,0.3254637436762226,-0.059854253617417474,5.715858513108865
total_score,numeric,"(30.999, 52.5]",595,171,0.28739495798319326,-0.09792303931044682,4.960256643266505
trend_hold_score,numeric,"(75.0, 95.0]",483,271,0.5610766045548654,0.17575860726122533,8.359351044339961
trend_hold_score,numeric,"(65.0, 75.0]",401,158,0.3940149625935162,0.008696965299876125,6.280321340814747
trend_hold_score,numeric,"(55.0, 65.0]",510,184,0.3607843137254902,-0.02453368356814989,6.093854893217327
trend_hold_score,numeric,"(39.999, 55.0]",1562,526,0.33674775928297057,-0.04857023801066951,5.74307686697772
