signal_date,top_n,eligible_count,topn_count,topn_target7_count,daily_hit,top1_code,top1_score,top1_candidate_d3_max_return_pct,best_topn_candidate_d3_max_return_pct,avg_topn_candidate_d3_max_return_pct,topn_codes,topn_scores,topn_candidate_d3_max_return_pct
2026-06-08,3,48,3,2,True,000608,60.430665,20.96219931271477,20.96219931271477,9.842986450021014,"000608,000520,603078","60.4307,55.5609,54.0550","20.9622,-0.4202,8.9869"
2026-06-09,3,35,3,1,True,603135,63.803295,-4.0506329113924044,9.704641350210965,3.405137315863494,"603135,002421,002931","63.8033,60.5258,59.1509","-4.0506,4.5614,9.7046"
2026-06-10,3,118,3,1,True,603186,65.06105500000001,14.756306637276516,14.756306637276516,5.796408412705063,"603186,000608,600487","65.0611,63.6632,62.2345","14.7563,1.5850,1.0479"
2026-06-11,3,171,3,2,True,002636,65.104375,15.566037735849058,15.566037735849058,10.849932810572442,"002636,603929,603186","65.1044,65.0608,64.5848","15.5660,6.9826,10.0012"
2026-06-12,3,174,3,2,True,002636,65.10152,14.485981308411231,14.485981308411231,8.74234459417184,"002636,603823,603929","65.1015,62.4472,62.0039","14.4860,8.7422,2.9989"
2026-06-15,3,66,3,2,True,001696,62.79958,6.652078774617065,18.656716417910445,12.310868797884892,"001696,002971,603065","62.7996,62.5013,61.9203","6.6521,11.6238,18.6567"
2026-06-16,3,96,3,3,True,002913,63.649645,7.402340781273731,11.542857142857144,9.907598878282682,"002913,600176,600226","63.6496,63.6471,63.5578","7.4023,10.7776,11.5429"
2026-06-17,3,169,3,2,True,002436,65.07296,15.062761506276168,15.062761506276168,8.739846287590003,"002436,003036,001359","65.0730,65.0456,64.7506","15.0628,-1.4410,12.5978"
2026-06-18,3,210,3,3,True,603186,65.964145,8.353282096510007,10.522151898734156,9.508557489670686,"603186,002824,603986","65.9641,65.6324,65.3816","8.3533,10.5222,9.6502"
2026-06-23,3,91,3,2,True,603065,64.900885,12.458100558659211,12.458100558659211,8.18898136535806,"603065,600353,002805","64.9009,63.7366,63.7025","12.4581,10.0000,2.1088"
2026-06-24,3,155,3,0,False,600353,65.353155,-1.7958412098298626,6.654783125371377,3.2929540780888686,"600353,002297,002655","65.3532,64.7058,64.6943","-1.7958,6.6548,5.0199"
2026-06-25,3,215,3,2,True,600206,65.91354000000001,15.11752136752138,15.11752136752138,10.807263454168336,"600206,603986,600397","65.9135,65.8347,65.8334","15.1175,5.7778,11.5265"
